date,RBC,platelet,plasma,F_platelet,washed_platelet,apheresis_plasma,etc
2021-02-21,19564,7211,95254,1241,0,18193,206
2021-02-22,19776,6127,96674,1261,0,19962,563
2021-02-23,18755,6320,92694,1118,0,18646,132
2021-02-24,17990,6946,93406,998,0,18343,243
2021-02-25,17027,6827,87928,943,0,15039,329
2021-02-26,16480,6636,87939,781,0,13015,191
2021-02-27,17301,7843,82997,754,0,8805,165
2021-02-28,19521,8873,87390,1129,0,10734,189
2021-03-01,20275,7833,89844,1239,0,12500,245
2021-03-02,19256,5576,90580,983,0,13455,755
2021-03-03,17814,6196,94793,966,0,15113,172
2021-03-04,17481,6474,95765,827,0,15144,191
2021-03-05,16585,6077,99474,776,0,16616,137
2021-03-06,16609,6878,99406,828,0,16740,181
2021-03-07,19593,8326,105017,1125,0,19018,258
2021-03-08,20281,7592,107927,1174,0,20877,545
2021-03-09,18843,7076,111128,1063,0,22479,140
2021-03-10,17044,6621,105773,959,0,20931,170
2021-03-11,16383,6758,96280,847,0,16669,170
2021-03-12,15849,6433,97313,704,0,15738,191
2021-03-13,15631,6615,93398,756,0,13045,158
2021-03-14,17822,7449,97875,1142,0,15330,342
2021-03-15,18956,6883,100372,1220,0,17148,351
