year,month,component,component_code,inventory,date
2024,12,백혈구여과제거성분채혈혈소판,SDP,1099,2024-12-01
2025,1,농축적혈구,RBC,25948,2025-01-01
2025,2,농축적혈구,RBC,18241,2025-02-01
2025,3,농축적혈구,RBC,20788,2025-03-01
2025,4,농축적혈구,RBC,16411,2025-04-01
2025,5,농축적혈구,RBC,22746,2025-05-01
2025,6,농축적혈구,RBC,35519,2025-06-01
2025,7,농축적혈구,RBC,38945,2025-07-01
2025,8,농축적혈구,RBC,36631,2025-08-01
2025,9,농축적혈구,RBC,33130,2025-09-01
2025,10,농축적혈구,RBC,20162,2025-10-01
2025,11,농축적혈구,RBC,16477,2025-11-01
2025,12,농축적혈구,RBC,15590,2025-12-01
2025,1,농축혈소판,PLT,5309,2025-01-01
2025,2,농축혈소판,PLT,6363,2025-02-01
2025,3,농축혈소판,PLT,6498,2025-03-01
2025,4,농축혈소판,PLT,6689,2025-04-01
2025,5,농축혈소판,PLT,7286,2025-05-01
2025,6,농축혈소판,PLT,6942,2025-06-01
2025,7,농축혈소판,PLT,6968,2025-07-01
2025,8,농축혈소판,PLT,6576,2025-08-01
2025,9,농축혈소판,PLT,6194,2025-09-01
2025,10,농축혈소판,PLT,6101,2025-10-01
2025,11,농축혈소판,PLT,6467,2025-11-01
2025,12,농축혈소판,PLT,7057,2025-12-01
2025,1,신선동결혈장,FFP,88425,2025-01-01
2025,2,신선동결혈장,FFP,90154,2025-02-01
2025,3,신선동결혈장,FFP,95482,2025-03-01
2025,4,신선동결혈장,FFP,93141,2025-04-01
2025,5,신선동결혈장,FFP,98298,2025-05-01
2025,6,신선동결혈장,FFP,94874,2025-06-01
2025,7,신선동결혈장,FFP,90545,2025-07-01
2025,8,신선동결혈장,FFP,87936,2025-08-01
2025,9,신선동결혈장,FFP,82871,2025-09-01
2025,10,신선동결혈장,FFP,81527,2025-10-01
2025,11,신선동결혈장,FFP,80774,2025-11-01
2025,12,신선동결혈장,FFP,85907,2025-12-01
2025,1,백혈구여과제거성분채혈혈소판,SDP,1139,2025-01-01
2025,2,백혈구여과제거성분채혈혈소판,SDP,1302,2025-02-01
2025,3,백혈구여과제거성분채혈혈소판,SDP,1133,2025-03-01
2025,4,백혈구여과제거성분채혈혈소판,SDP,1170,2025-04-01
2025,5,백혈구여과제거성분채혈혈소판,SDP,1206,2025-05-01
2025,6,백혈구여과제거성분채혈혈소판,SDP,1118,2025-06-01
2025,7,백혈구여과제거성분채혈혈소판,SDP,1096,2025-07-01
2025,8,백혈구여과제거성분채혈혈소판,SDP,1103,2025-08-01
2025,9,백혈구여과제거성분채혈혈소판,SDP,1060,2025-09-01
2025,10,백혈구여과제거성분채혈혈소판,SDP,1178,2025-10-01
2025,11,백혈구여과제거성분채혈혈소판,SDP,1201,2025-11-01
2025,12,백혈구여과제거성분채혈혈소판,SDP,1258,2025-12-01
